Designator,Mid X,Mid Y,Rotation,Layer
C1,11.0,-45.0,0.0,top
C10,25.685,-76.54,180.0,top
C101,88.0,-37.0,0.0,top
C102,83.0,-34.5,90.0,top
C103,80.5,-53.5,0.0,top
C104,9.255,-73.365,180.0,top
C105,34.02,-73.365,0.0,top
C106,75.605,-64.475,0.0,top
C11,69.0,-45.0,0.0,top
C12,38.0,-88.05,-90.0,top
C13,53.07,-76.54,180.0,top
C14,74.0,-45.0,0.0,top
C15,80.0,-93.5,90.0,top
C16,88.0,-79.5,0.0,top
C17,64.0,-88.5,-90.0,top
C18,88.0,-60.5,0.0,top
C2,27.0,-45.0,0.0,top
C3,43.0,-45.0,0.0,top
C4,59.0,-45.0,0.0,top
C5,11.0,-61.0,0.0,top
C6,27.0,-61.0,0.0,top
C7,43.0,-61.0,0.0,top
C8,64.0,-45.0,0.0,top
C9,13.065,-88.05,-90.0,top
H1,0.0,-0.0,0.0,top
H2,91.0,-86.0,0.0,top
H3,91.0,-86.0,180.0,bottom
J1,4.0,-8.0,90.0,top
J10,68.0,-21.0,90.0,top
J101,84.0,3.2,0.0,top
J11,52.0,-8.0,90.0,top
J2,20.0,-8.0,90.0,top
J3,36.0,-8.0,90.0,top
J4,52.0,-21.0,90.0,top
J5,4.0,-21.0,90.0,top
J6,20.0,-21.0,90.0,top
J7,36.0,-21.0,90.0,top
J9,68.0,-8.0,90.0,top
Q1,13.7,-68.92,0.0,top
Q2,41.005,-68.92,0.0,top
Q3,59.42,-66.38,0.0,top
Q4,60.055,-77.916,0.0,top
R1,1.635,-67.65,-90.0,top
R10,14.97,-76.54,0.0,top
R101,81.645,-13.04,180.0,top
R102,86.0,-41.0,0.0,top
R103,92.0,-41.0,0.0,top
R11,20.685,-68.92,0.0,top
R12,23.225,-72.73,180.0,top
R14,71.5,-14.0,180.0,top
R15,40.37,-72.73,0.0,top
R16,42.275,-76.54,0.0,top
R17,47.99,-68.92,0.0,top
R18,50.53,-72.73,180.0,top
R2,4.175,-67.65,-90.0,top
R20,71.5,-27.0,180.0,top
R21,56.245,-66.38,90.0,top
R22,60.69,-70.19,0.0,top
R23,66.405,-66.38,90.0,top
R25,47.5,-15.5,0.0,top
R26,56.88,-77.916,90.0,top
R27,61.325,-81.726,0.0,top
R28,63.865,-85.43,180.0,top
R3,6.715,-67.65,-90.0,top
R30,53.0,-15.5,0.0,top
R4,9.255,-67.65,-90.0,top
R5,30.0,-67.65,-90.0,top
R6,32.54,-67.65,-90.0,top
R7,35.08,-67.65,-90.0,top
R8,37.62,-67.65,-90.0,top
R9,13.065,-72.73,0.0,top
RV1,4.0,-37.0,0.0,top
RV10,46.5,-83.5,0.0,top
RV11,72.0,-83.5,0.0,top
RV2,20.0,-37.0,0.0,top
RV3,36.0,-37.0,0.0,top
RV4,52.0,-37.0,0.0,top
RV5,4.0,-53.0,0.0,top
RV6,20.0,-53.0,0.0,top
RV7,36.0,-53.0,0.0,top
RV9,21.5,-83.5,0.0,top
SW1,56.0,-55.0,90.0,top
SW101,90.0,-16.5,0.0,top
SW2,68.0,-55.0,90.0,top
U1,1.635,-76.54,0.0,top
U2,30.21,-76.54,0.0,top
U3,71.485,-67.65,0.0,top
